SHOHINCD,SHOHINNM,SHOHINNM,KIKAKU
001000,100000,運送梱包費（混載便）,福山通運/指定無し
001000,100010,運送梱包費（混載便）,福山通運/日祝配達
001000,100100,運送梱包費（混載便）,福山通運/時間指定
001000,100800,運送梱包費（混載便）,福山通運/中継料込み
001000,100900,運送梱包費（混載便）,福山通運→日通海運
001000,100908,運送梱包費（混載便）,福山通運→日通海運(沖縄)
001000,100950,運送梱包費（混載便）,福山通運→共同ﾌｪﾘｰ(種子島)
001000,200000,運送梱包費（混載便）,ヤマト運輸/指定無し
001000,200100,運送梱包費（混載便）,ヤマト運輸/ﾀｲﾑｻｰﾋﾞｽ
001000,290000,運送梱包費（混載便）,ヤマト運輸/沖縄 (航空便)
001000,290100,運送梱包費（混載便）,ヤマト運輸/沖縄 (船便)
001000,300000,運送梱包費（混載便）,佐川急便/指定無し
001000,300010,運送梱包費（混載便）,佐川急便/日祭配達
001000,300100,運送梱包費（混載便）,佐川急便/スーパー便
001000,308100,運送梱包費（混載便）,佐川急便→日通海運(鹿児島)
001000,309100,運送梱包費（混載便）,佐川急便→共同ﾌｪﾘｰ(種子島)
001000,500000,運送梱包費（混載便）,日通航空
001000,600000,運送梱包費（混載便）,レターパックライト
002000,000010,運送梱包費（チャ－タ－便）,*****　　中国地区運賃　　****
002000,000015,運送梱包費（チャ－タ－便）,広島県広島市　(4t平)
002000,000016,運送梱包費（チャ－タ－便）,広島県広島市　(4tﾕﾆｯｸ)
002000,000017,運送梱包費（チャ－タ－便）,広島県福山市　(4t平)
002000,000018,運送梱包費（チャ－タ－便）,広島県福山市　(4tﾕﾆｯｸ)
002000,000020,運送梱包費（チャ－タ－便）,岡山県岡山市　(4t平)
002000,000021,運送梱包費（チャ－タ－便）,岡山県岡山市　(4tﾕﾆｯｸ)
002000,000022,運送梱包費（チャ－タ－便）,岡山県北部　(4t平)
002000,000023,運送梱包費（チャ－タ－便）,岡山県北部　(4tﾕﾆｯｸ)
002000,000030,運送梱包費（チャ－タ－便）,島根県松江市　(4t平)
002000,000031,運送梱包費（チャ－タ－便）,島根県松江市　(4tﾕﾆｯｸ)
002000,000032,運送梱包費（チャ－タ－便）,鳥取県　(4t平)
002000,000033,運送梱包費（チャ－タ－便）,鳥取県　(4tﾕﾆｯｸ)
002000,000034,運送梱包費（チャ－タ－便）,山口県　(4t平)
002000,000035,運送梱包費（チャ－タ－便）,山口県　(4tﾕﾆｯｸ)
002000,000036,運送梱包費（チャ－タ－便）,広島県三原市　(4t平)
002000,000037,運送梱包費（チャ－タ－便）,広島県三原市　(4tﾕﾆｯｸ)
002000,000038,運送梱包費（チャ－タ－便）,因島町　(4t平)
002000,000039,運送梱包費（チャ－タ－便）,因島町　(4tﾕﾆｯｸ)
002000,000040,運送梱包費（チャ－タ－便）,瀬戸田町　(4t平)
002000,000041,運送梱包費（チャ－タ－便）,瀬戸田町　(4tﾕﾆｯｸ)
002000,000042,運送梱包費（チャ－タ－便）,府中市　(4t平)
002000,000043,運送梱包費（チャ－タ－便）,府中町　(4tﾕﾆｯｸ)
002000,000044,運送梱包費（チャ－タ－便）,世羅町　(4t平)
002000,000045,運送梱包費（チャ－タ－便）,世羅町　(4tﾕﾆｯｸ)
002000,000046,運送梱包費（チャ－タ－便）,竹原市　(4t平)
002000,000047,運送梱包費（チャ－タ－便）,竹原市　(4tﾕﾆｯｸ)
002000,000048,運送梱包費（チャ－タ－便）,上下町　(4t平)
002000,000049,運送梱包費（チャ－タ－便）,上下町　(4tﾕﾆｯｸ)
002000,000050,運送梱包費（チャ－タ－便）,*****　　北陸地区運賃　　****
002000,000100,運送梱包費（チャ－タ－便）,石川県金沢市　(4t平)
002000,000110,運送梱包費（チャ－タ－便）,石川県金沢市　(4tﾕﾆｯｸ)
002000,000200,運送梱包費（チャ－タ－便）,富山県富山市　(4t平)
002000,000210,運送梱包費（チャ－タ－便）,富山県富山市　(4tﾕﾆｯｸ)
002000,000220,運送梱包費（チャ－タ－便）,新潟　(4t平)
002000,000230,運送梱包費（チャ－タ－便）,新潟　(4tﾕﾆｯｸ)
002000,000500,運送梱包費（チャ－タ－便）,高速料金
002000,000600,運送梱包費（チャ－タ－便）,*****　　その他本州運賃　　****
002000,000610,運送梱包費（チャ－タ－便）,大阪　(4t平)
002000,000620,運送梱包費（チャ－タ－便）,大阪　(4tﾕﾆｯｸ)
002000,000630,運送梱包費（チャ－タ－便）,京都・奈良　(4t平)
002000,000640,運送梱包費（チャ－タ－便）,京都・奈良　(4tﾕﾆｯｸ)
002000,000650,運送梱包費（チャ－タ－便）,滋賀　(4t平)
002000,000660,運送梱包費（チャ－タ－便）,滋賀　(4tﾕﾆｯｸ)
002000,000670,運送梱包費（チャ－タ－便）,名古屋・岐阜　(4t平)
002000,000680,運送梱包費（チャ－タ－便）,名古屋・岐阜　(4tﾕﾆｯｸ)
002000,000690,運送梱包費（チャ－タ－便）,和歌山　(4t平)
002000,000700,運送梱包費（チャ－タ－便）,和歌山　(4tﾕﾆｯｸ)
002000,000710,運送梱包費（チャ－タ－便）,栃木・埼玉　(4t平)
002000,000720,運送梱包費（チャ－タ－便）,栃木・埼玉　(4tﾕﾆｯｸ)
002000,000730,運送梱包費（チャ－タ－便）,静岡　(4t平)
002000,000740,運送梱包費（チャ－タ－便）,静岡　(4tﾕﾆｯｸ)
002000,000008,運送梱包費（チャ－タ－便）,****　　四国地区運賃　　****
002000,000009,運送梱包費（チャ－タ－便）,松山地区　(4t平)
002000,000010,運送梱包費（チャ－タ－便）,松山地区　(4tﾕﾆｯｸ)
002000,000015,運送梱包費（チャ－タ－便）,宇和島地区　(4t平)
002000,000016,運送梱包費（チャ－タ－便）,宇和島地区　(4tﾕﾆｯｸ)
002000,000019,運送梱包費（チャ－タ－便）,徳島地区　(4t平)
002000,000020,運送梱包費（チャ－タ－便）,徳島地区　(4tﾕﾆｯｸ)
002000,000029,運送梱包費（チャ－タ－便）,高知地区　(4t平)
002000,000030,運送梱包費（チャ－タ－便）,高知地区　(4tﾕﾆｯｸ)
002000,000039,運送梱包費（チャ－タ－便）,香川地区　(4t平)
002000,000040,運送梱包費（チャ－タ－便）,香川地区　(4tﾕﾆｯｸ)
002010,000100,運送梱包費（チャーター便）,高速道路料金
002010,001000,運送梱包費（チャーター便）,【4ton平】
002010,080004,運送梱包費（チャーター便）,北九州地区(4ton平)
002010,080204,運送梱包費（チャーター便）,飯塚地区(4ton平)
002010,081004,運送梱包費（チャーター便）,福岡地区(4ton平)
002010,083004,運送梱包費（チャーター便）,久留米地区(4ton平)
002010,084004,運送梱包費（チャーター便）,佐賀地区(4ton平)
002010,084104,運送梱包費（チャーター便）,佐賀.唐津地区(4ton平)
002010,085004,運送梱包費（チャーター便）,長崎地区(4ton平)
002010,086004,運送梱包費（チャーター便）,熊本地区(4ton平)
002010,086304,運送梱包費（チャーター便）,熊本・天草地区(4ton平)
002010,086804,運送梱包費（チャーター便）,熊本・人吉地区(4ton平)
002010,087004,運送梱包費（チャーター便）,大分地区(4ton平)
002010,088004,運送梱包費（チャーター便）,宮崎地区(4ton平)
002010,089004,運送梱包費（チャーター便）,鹿児島地区(4ton平)
002010,089101,運送梱包費（チャーター便）,鹿児島離島/港止め
002010,090004,運送梱包費（チャーター便）,沖縄本島（日通海運）
002010,091004,運送梱包費（チャーター便）,沖縄離島（日通海運）
002010,100000,運送梱包費（チャーター便）,【4ton/ﾕﾆｯｸ車】
002010,181004,運送梱包費（チャーター便）,福岡市内(4t/ﾕﾆｯｸ)
002010,182004,運送梱包費（チャーター便）,佐賀地区　(4tﾕﾆｯｸ)
002010,183004,運送梱包費（チャーター便）,北九州地区　(4tﾕﾆｯｸ)
002010,185004,運送梱包費（チャーター便）,長崎市内(4t/ﾕﾆｯｸ)
002010,186004,運送梱包費（チャーター便）,熊本市内(4t/ﾕﾆｯｸ)
002010,187004,運送梱包費（チャーター便）,大分地区(4t/ﾕﾆｯｸ)
002010,188004,運送梱包費（チャーター便）,宮崎地区(4t/ﾕﾆｯｸ)
002010,189004,運送梱包費（チャーター便）,鹿児島市内(4t/ﾕﾆｯｸ)
002010,190004,運送梱包費（チャーター便）,沖縄本島(日通海運/4tﾕﾆｯｸ)
003000,000100,運送梱包費,別途御見積り
003000,001010,運送梱包費,九州本島(離島は除く)
003000,001020,運送梱包費,沖縄本島(離島は除く)
003000,002010,運送梱包費,中国(離島は除く)
003000,003010,運送梱包費,四国(離島は除く)
003000,004010,運送梱包費,関西(離島は除く)
003000,005010,運送梱包費,東海(離島は除く)
003000,006010,運送梱包費,関東(離島は除く)
003000,007010,運送梱包費,東北(離島は除く)
003000,008010,運送梱包費,北海道(離島は除く)
003000,100000,運送梱包費,メーカー直送
003000,200000,運送梱包費,　＜ＺＡＭ架台＞
003000,200150,運送梱包費,九州本島/Ｗ1500
003000,200151,運送梱包費,九州本島/W1500-架台.ｹｰﾌﾞﾙﾗｯｸ
003000,200200,運送梱包費,九州本島/Ｗ2000
003000,200201,運送梱包費,九州本島/W2000-架台.ｹｰﾌﾞﾙﾗｯｸ
003000,200250,運送梱包費,九州本島/Ｗ2500
003000,200251,運送梱包費,九州本島/W2500-架台.ｹｰﾌﾞﾙﾗｯｸ
003000,200255,運送梱包費,九州本島/W2500*1式.W2000*1式
003000,201250,運送梱包費,九州本島/Ｗ2500（塗装品）
003000,202150,運送梱包費,沖縄本島/Ｗ1500
003000,202200,運送梱包費,沖縄本島/Ｗ2000
003000,202250,運送梱包費,沖縄本島/Ｗ2500
003000,300000,運送梱包費,　＜ケーブルラック＞
003000,300150,運送梱包費,九州本島/ｹｰﾌﾞﾙﾗｸ Ｗ1500
003000,300200,運送梱包費,九州本島/ｹｰﾌﾞﾙﾗｸ Ｗ2000
003000,300250,運送梱包費,九州本島/ｹｰﾌﾞﾙﾗｸ Ｗ2500
008001,000100,現地調査設計費,現地調査・施工図面
008002,001000,現地調査人件費,現地調査費(平日)技師C-H27
008003,001000,施工図面作成人件費,施工図面作成費
008004,001000,移動人件費,移動時間
008005,001000,間接原価及び一般管理費,間接原価
008005,002000,間接原価及び一般管理費,一般管理費
008006,001000,旅費交通費,交通費(一般交通機関利用)
008006,001110,旅費交通費,交通費(自家用車利用)
008006,001210,旅費交通費,交通費(有料道路料金)
008006,002000,旅費交通費,宿泊費
008010,001000,施工図面費,工事施工設計図面費
008010,100000,施工図面費,工事施工設計図面00枚
008050,001000,測定試験費,(1/1-2/1)
008050,001050,測定試験費,宿泊費
008050,001100,測定試験費,諸経費(10%)
008100,001000,品質検査及び作業報告書,【提出：各2部】
008100,002100,品質検査及び作業報告書,鋼材検査証明書
008100,002200,品質検査及び作業報告書,製造工程写真
008100,003000,品質検査及び作業報告書,溶接検査報告書
008100,004000,品質検査及び作業報告書,めっき試験成績表
008100,004010,品質検査及び作業報告書,ﾒｯｷ成績表/工程写真付
008100,005000,品質検査及び作業報告書,出荷証明書
008100,006000,品質検査及び作業報告書,社内検査結果報告書
008100,007110,品質検査及び作業報告書,塗料出荷証明書
008100,007120,品質検査及び作業報告書,塗料試験成績書
008100,007130,品質検査及び作業報告書,塗装工程写真
008200,001000,構造計算書,構造計算書
008200,001099,構造計算書,構造計算書
008200,001100,構造計算書,構造計算書
008200,001120,構造計算書,構造計算書
008200,001150,構造計算書,構造計算書
008200,001180,構造計算書,構造計算書
008200,100010,構造計算書,①直接人件費 1　主任技師
008200,100020,構造計算書,②直接人件費 2　技術員
008200,100030,構造計算書,③間接原価　人件費*α/(1-α)
008200,100040,構造計算書,④業務原価　①～③
008200,100050,構造計算書,⑤一般管理費　業務原価*(β/(1-β)
008200,100060,構造計算書,端数調整
008250,001000,基礎地盤における安定検討,地盤調査を除く
009000,001000,お得意様特別値引き,特別値引き
009000,002000,お得意様特別値引き,施工図面費
100080,000010,人材派遣費,**月分
100080,000020,人材派遣費,労務費(*/25-*/24)
100080,000025,人材派遣費,宿泊費
100080,000050,人材派遣費,労務費(**月分)
100080,000051,人材派遣費,超勤労働時間
100080,000052,人材派遣費,一般経費(15%)
100080,000053,人材派遣費,通勤費
100080,000054,人材派遣費,出張旅費
100090,000100,ＣＡＤ　竣工図面,基地局(  枚)
100100,000100,メッキ加工,メッキ加工（小物）
100100,000200,メッキ加工,メッキ加工
100220,001000,設計及び図面費,技師Ｃ
100220,001010,設計及び図面費,技師Ｃ
100220,002000,設計及び図面費,技術員
100220,002010,設計及び図面費,技術員
100220,003000,設計及び図面費,図面作成業務
200026,000100,平鋼　ＦＢ２５×６,寸法切
200026,000110,平鋼　ＦＢ２５×６,丸穴加工
200045,000100,平鋼　ＦＢ３８×4.5,寸法切
200045,000110,平鋼　ＦＢ３８×4.5,丸穴加工
200046,000100,平鋼　ＦＢ３８×６,寸法切
200046,000110,平鋼　ＦＢ３８×６,丸穴加工
200046,000200,平鋼　ＦＢ３８×６,メッキ寸法切
200046,000210,平鋼　ＦＢ３８×６,メッキ穴加工
200049,000100,平鋼　ＦＢ３８×９,寸法切
200049,000110,平鋼　ＦＢ３８×９,丸穴加工
200049,000327,平鋼　ＦＢ３８×９,定　尺　　　　L=2750
200049,000355,平鋼　ＦＢ３８×９,定　尺　　　　L=5500
200056,000100,平鋼　ＦＢ５０×６,寸法切
200056,000110,平鋼　ＦＢ５０×６,丸穴加工
200056,000111,平鋼　ＦＢ５０×６,丸穴加工
200056,000120,平鋼　ＦＢ５０×６,長穴加工
200056,000130,平鋼　ＦＢ５０×６,丸.長穴加工
200056,000200,平鋼　ＦＢ５０×６,メッキ寸法切
200056,000210,平鋼　ＦＢ５０×６,メッキ穴加工
